,0
0,SUPPLY
1,NO
2,NO
3,NO
4,NO
5,NO
6,NO
7,NO
8,NO
9,NO
10,NO
11,SUPPLY
12,NO
13,SUPPLY
14,SUPPLY
15,SUPPLY
16,NO
17,SUPPLY
18,NO
19,NO
20,SUPPLY
21,NO
22,NO
23,SUPPLY
24,SUPPLY
25,NO
26,NO
27,NO
28,NO
29,NO
30,NO
31,NO
32,NO
33,NO
34,NO
35,NO
36,NO
37,NO
38,NO
39,NO
40,NO
41,NO
42,NO
43,NO
44,NO
45,NO
46,NO
47,SUPPLY
48,NO
49,NO
50,NO
51,NO
52,NO
53,NO
54,NO
55,NO
56,NO
57,NO
58,NO
59,NO
60,SUPPLY
61,NO
62,NO
63,NO
64,NO
65,NO
66,NO
67,SUPPLY
68,NO
69,NO
70,SUPPLY
71,NO
72,NO
73,NO
74,NO
75,NO
76,NO
77,SUPPLY
78,NO
79,NO
80,SUPPLY
81,SUPPLY
82,NO
83,NO
84,NO
85,NO
86,SUPPLY
87,NO
88,NO
89,SUPPLY
90,NO
91,SUPPLY
92,NO
93,NO
94,NO
95,NO
96,NO
97,NO
98,NO
99,NO
100,SUPPLY
101,NO
102,NO
103,NO
104,NO
105,NO
106,NO
107,SUPPLY
108,NO
109,NO
110,NO
111,NO
112,SUPPLY
113,SUPPLY
114,SUPPLY
115,NO
116,SUPPLY
117,NO
118,NO
119,SUPPLY
120,SUPPLY
121,NO
122,NO
123,NO
124,NO
125,SUPPLY
126,SUPPLY
127,NO
128,SUPPLY
