State,District,Mandi
,,Jasdan(Vichhiya)
,,Jetpur(Dist.Rajkot)
,,Morbi
,,Rajkot
,,Rajkot(Ghee Peeth)
,,Upleta
,sabar kantha,Bayad
,,Bayad(Demai)
,,Bayad(Sadamba)
,,Bhiloda
,,Dhansura
,,Himatnagar
,,Himatnagar(Gambhoi)
,,Himatnagar(Veg.Market Himatnagar)
,,Idar
,,Idar(Jadar)
,,Khedbrahma
,,Khedbrahma(Lambadia)
,,Khedbrahma(Posina)
,,Malpur
,,Meghraj
,,Meghraj(Radlavada)
,,Modasa
,,Modasa(Tintoi)
,,Prantij
,,Prantij(Salala)
,,Talod
,,Talod(Harsol)
,,Vadali
,,Vijaynagar(Kundlakap)
,Surat,Bardoli
,,Bardoli(Katod)
,,Kosamba
,,Kosamba(Vankal)
,,Kosamba(Zangvav)
,,Mahuva
,,Mahuva(Anaval)
,,Mandvi
,,Mandvi(Amba Paradi)
,,Nizar
,,Nizar(Kukarmuda)
,,Songadh
,,Songadh(Badarpada)
,,Songadh(Umrada)
,,Surat
,,Uchhal
,,Uchhal(Karod)
,,Valod
,,Valod(Buhari)
,,Vyara(Paati)
,,Vyra
,Surendranagar,"Chotial(Veg,Yard)"
,,Chotila
,,"Chotila(Veg,Yard Chotila)"
,,Dasada Patadi
,,Dhragradhra
,,Halvad
,,Lakhtar
,,Limdi
,,Muli
,,Sayala
,,Vadhvan
,dang,Ahwa-Dang
,vadodara,Bodeli
,,Bodeli(Hadod)
,,Bodeli(Kalediya)
,,Bodeli(Modasar)
,,Chhota Udaipur
,,Chhota Udepur(Tejgadh)
,,Dabhoi(Kayavarohan)
,,Daboi
,,Jepur Pavi(Chackak)
,,Jetpur-Pavi
,,Karjan
,,Kawant
,,Kawant(Panvad)
,,Nasvadi
,,Nasvadi(Thalkala)
,,Padra
,,Savli
,,Savli(Desar)
,,Savli(Samlaya)
,,Shinor
,,Vadodara
,,Vadodara(Navapura)
,,Vadodara(Sayajipura)
,,Vagodiya
,Valsad,Chikli(Khorgam)
,,Dharampur(veg)
,,Pardi
,,Pardi(Motavagachiya)
,,Pardi(Rohinee)
,,Pardi(Ugvada)
,,Pardi(Vapi)
,,Valsad
,,Valsad(Dungari)
Haryana,Ambala,Ambala Cantt.
,,Ambala City
,,Ambala City(Subji Mandi)
,,Barara
,,Mullana
,,Mullana(saha)
,,Naneola
,,Naraingarh
,,"New Grain Market , Ambala"
,,Shahzadpur
,Bhiwani,Behal
,,Bhiwani
,,Bhiwani(Bawani Khera)
,,Ch. Dadri
,,Jui
,,Loharu
,,Loharu(Dighwa)
,,"New Grain Market , Bhiwani"
,,Siwani
,,Tosham
,Faridabad,Ballabhgarh
,,Faridabad
,,"New Grain Market , Faridabad"
,fatehbad,Tohana
,,Bhattu Kalan
,,Bhuna
,,Dharsul
,,Fatehabad
,,Jakhal
,,Ratia
,,Tohana(New Veg Market)
,Gurgaon,Farukh Nagar
,,Gurgaon
,,Pataudi
,,Rerozepur Zhirka
,,Sohna
,hisar,Adampur
,,Adampur(Agroha)
,,Barwala(Hisar)
,,Hansi
,,Hansi(Sisai)
,,Hissar
,,Narnaud(Bass)
,,Narnaund
,,"New Grain Market-2 , Hisar"
,,Uklana
,jhajjar,Bahadurgarh
,,Jhajjar
,Jind,Jind
,,Jullana
,,Narwana
,,"New Grain Market , Jind"
,,Pillukhera
,,Safidon
,,Uchana
,Kaithal,Cheeka
,,Dhand
,,Kaithal
,,Kalayat
,,Pai
,,Pai(Rajaund)
,,Pundri
,,Siwan
,Kurukshetra,Babain
,,Iamailabad
,,Ladwa
,,Pehowa
,,Pehowa(Gumthala Gahru)
,,Pipli
,,Shahabad
,,Thanesar
,mahendragarh,Ateli
,,Khanina
,,Mohindergarh
,,Narnaul
,Mewat,FerozpurZirkha(Nagina)
,,Hathin
,,Nuh
,,Punhana
,,Taura
,Palwal,Hassanpur
,,Hodal
,,Palwal
,Panchkula,Barwala
,,"New Grain Market , Panchkula"
,,Panchkul(Kalka)
,,Panchkula
,,Raipur Rai
,Panipat,Bapauli
,,Israna
,,Madlauda
,,Panipat
,,Panipat(Baharpur)
,,Samalkha
,Rewari,Kosli
,,Rewari
,Rohtak,Meham
,,"New Grain Market , Rohtak"
,,Rohtak
,,Rohtak(Kalanaur)
,,Sampla
,Sirsa,Dabwali
,,Dabwali(Chautala)
,,Ding
,,Ellanabad
,,kalanwali
,,Kalawali(Odhan)
,,"New Grain Market , Sirsa"
,,Rania
,,Rania(Jiwan nagar)
,,Sirsa
,,Sirsa(Malekan)
,sonepat,Ganaur
,,Gohana
,,"New Grain Market , Sonipat"
,,Sonepat
,,Sonepat(Kharkhoda)
,yamunanagar,Bilaspur
,,Chhachhrauli(Khizrabad)
,,Chhachrauli
,,Jagadhri
,,Mustafabad
,,Radaur
,,Sadhaura
,,Yamuna Nagar
Himachal Pradesh,Bilaspur,Bilaspur
,,Namhol(Bilaspur)
,Chamba,Chamba
,Hamirpur,Hamirpur
,,Hamirpur(Nadaun)
,Kangra,Kangra(Jaisinghpur)
,,Jwalaji
,,Kangra
,,Kangra(Baijnath)
,,Kangra(Jassour)
,,Kangra(Nagrota Bagwan)
,,Palampur
,Kullu,Bandrol
,,Bhuntar
,,Khegsu
,,Kullu
,,Kullu(Chauri Bihal)
,,Kullu(Patli Kuhal)
,Mandi,Chail Chowk
,,Dhanotu (Mandi)
,,Mandi(Mandi)
,,Mandi(Takoli)
,Shimla,Rohroo
,,Shimla
,,Shimla and Kinnaur(Koti)
,,Shimla and Kinnaur(Nerwa)
,,Shimla and Kinnaur(Rampur)
,,Shimla and Kinnaur(Theog)
,sirmaur,Nahan
,,Paonta Sahib
,,Sirmour(Bagthan)
,,Sirmour(sarahan)
,Solan,Solan(ChakkikaMor)
,,Dharampur
,,Solan
,,Solan(Banalgi)
,,Solan(Nalagarh)
,,Solan(Parwanoo)
,,Solan(Rajgarh)
,Una,Santoshgarh
,,Una
Jammu and Kashmir,Anantnag,Ashahipora (Anantnagh)
,,Dachinpora
,,Kulgam
,,Qazigund
,,Vessue
,Badgam,Budgam
,,Chadoora
,,Zaloosa-Chararishrief (F&V)
,Baramula,Bandipora
,,Kanispora Baramulla (F&V)
,,Nowpora
,,Pattan
,,Rafi-Abad
,,Sambal
,,Tangmarg
,Handwara,Handwara (F&V)
,Jammu,Akhnoor
,,Batote
,,Jammu (Grain Mandi)
,,Narwal Jammu (F&V)
,,Samba
,Kargil,Khurbtang-Kargil
,,Leh
,Kathua,Kathua
,Kupwara,Bumhama-Kupwara (F&V)
,,Langate
,Pulwama,Pulwama (F&V)
,,Shopian
,,Tral
,Rajouri,Rajouri (F&V)
,Srinagar,Bagh(Srinagar)
,,Ganderbal
,,Parimpore
,Udhampur,Reasi
,,Udhampur
Jharkhand,Bokaro,Bermo
,,Bokaro (Chas)
,Chatra,Chatra
,Deogarh,Deoghar
,,Madhupur
,Dhanbad,Dhanbad
,Dumka,Dumka
,East Singhbhum,Chakulia
,,Jamshedpur
,Garhwa,Gadhwah
,Giridih,Giridih
,gooda,Godda
,Gumla,Gumla
,Hazaribagh,Hazaribagh
,,Ramgarh
,Jamtara,Jamtara
,kodarma,Koderma
,Latehar,Latehar
,Lohardaga,Lohardaga
,Pakur,Pakur
,Palamu,Palamu
,Ranchi,Ranchi
,,Khunti
,sahebganj,Sahebganj
,seraikela kharsawan,Saraikela
,Simdega,Simdega
,,Barhmba
,west singhbum,Chaibasa
Karnataka,Bagalkot,Badami
,,Badami(Keruru)
,,Bagalakot
,,Bagalkot(Bigali)
,,Hunagunda(Hilakal)
,,Hungund
,,Jamakhandi
,,Mahalingapura(Mudagol)
,,Mhalingapur
,banglore urban,Bangalore
,,"Binny Mill (F&V), Bangalore"
,,Channapatana
,,Doddaballa Pur
,,Fruits & Vegetable(Kalsipalya)
,,Fruits & Vegetable(Singena Agrahara)
,,Hoskote
,,Kanakapura
,belagum,Athani
,,Bailahongal
,,Belgaum
,,Belgaum(Herebhagevadi)
,,Gokak
,,Kudchi
,,Nandagada
,,Nippani
,,Ramdurga
,,Ramdurga(Katikola)
,,Sankeshwar
,,Sankeshwara((Hukkeri)
,,Soundati
,,Soundatti(Heragatti)
,,Soundatti(Munavalli)
,Bellary,Bellary
,,H.B. Halli
,,Hoovinahadagali
,,Hospet
,,Hospet(Kampli)
,,Hospet(Mariyammana halli)
,,Kottur
,,Sandur
,,Sirguppa
,Bidar,Aurad
,,Basava Kalayana
,,Bhalki
,,Bidar
,,Humanabad
,Bijapur,Bijapur
,,Bijapur(Basavanabhage Vadi)
,,Sindagi
,,Sindagi(chadachan)
,,Sindagi(Devarayipparagi)
,,Sindagi(Hendi)
,,Talikot
,,Talikot(Muddebehala)
,Chamrajnagar,Chamaraj Nagar
,,Gundlupet
,,Kollegal
,Chikmagalur,Chikkamagalore
,,Kadur
,,Koppa
,,Moodigere
,,Sringeri
,,Tarikere
,Chitradurga,Challakere
,,Chitradurga
,,Chitradurga(Bheemasamudra)
,,Hiriyur
,,Hosadurga
,,Rampura
,Davangere,Channagiri
,,Davangere
,,Harappana Halli
,,Harihara
,,Honnali
,,Jagalur
,Dharwad,Annigeri
,,Dharwad(Alanawar)
,,Dharwar
,,Hubli (Amaragol)
,,Kalagategi
,,Kundagol
,Gadag,Gadag
,,Gadag(Hulakoti)
,,Gadag(Mulagund)
,,Holehaluru(Rona)
,,Laxmeshwar
,,Laxmeswar(Siratti)
,,Mundaragi
,,Nargund(Sirol)
,,Nargunda
,,Rona
,Gulbarga,Alanda
,,Chincholi
,,Chittapur
,,Chittapura(Shahbad)
,,Gulbarga
,,Gulburga(Afzalpur)
,,Gulburga(Jhevargi)
,,Sedam
,,Shahapur
,,Shorapur
,,Yadagiri(Gurumittkal)
,,Yadgir
,Hassan,Arasikere
,,Belur
,,Channarayapatna
,,Hassan
,,Holenarsipura
,,Sakaleshpura
,Haveri,Byadagi
,,Hanagal
,,Hanagal(Hakkihaluru)
,,Haveri
,,Haveri(Guthal)
,,Hirekerur
,,Hirekeruru(Rattihalli)
,,Ranebennur
,,Ranebennur(Halageri)
,,Savanur
,,Shiggauv
,uttara kannada,Haliyala
,,Haliyala(Dandeli)
,,Honnavar
,,Honnavara(Bhatkal)
,,Karwar
,,Kumta
,,Mundgod
,,Siddapur
,,Sirsi
,,Yallapura(Kiruvathi)
,,Yellapur
,Kolar,Bangarpet
,,Bhagepalli
,,Chickkaballapura
,,Chintamani
,,Gowribidanoor
,,Kolar
,,Malur
,,Mulabagilu
,,Srinivasapur
,Koppal,Gangavathi
,,Gangavathi(Karatagi)
,,Kustagi
,,Kustagi(Hanumasagar)
,,Yalburga
,kodagu,Gonikappal
,,Madikeri
,,Somawarpet(Suntikoppa)
,,Somvarpet
,Mandya,K.R. Pet
,,Maddur
,,Malavalli
,,Mandya
,,Nagamangala
,,Pandavapura
,,Srirangapattana
,dakshin kannada,Bantvala(Vittla)
,,Bantwala
,,Belthangdi
,,Mangalore
,,Manglore(Moodabidri)
,,Puttur
,,Sulya
,Mysore,Hunsur
,,K.R.Nagar
,,Mysore (Bandipalya)
,,Nanjangud
,,Piriya Pattana
,,Santhesaguru(H.D.Kota)
,,Santhesargur
,,T. Narasipura
,,T.Narasipura(Bannur)
,Raichur,Lingasugur
,,Lingasuguru(Maski)
,,Lingasuguru(Mudagal)
,,Manvi
,,Raichur
,,Sindhanur
,ramnagar,Ramanagar
,Shimoga,Bhadravathi
,,Sagar
,,Sagar(Hosanagara)
,,Shikaripura
,,Shimoga
,,Shimoga(Theertahalli)
,,Sorabha
,Tumkur,Gubbi
,,Huliyar
,,Koratagere
,,Kunigal
,,Madhugiri
,,Pavagada
,,Sira
,,Tiptur
,,Tumkur
,,Turvekere
,Udupi,Karkala
,,Kundapura
,,Udupi
Kerala,Alapuzha,Alappuzha
,,Aroor
,,Chengannur
,,Cherthala
,,Harippad
,,Kayamkulam
,,Madhavapuram
,,Mannar
,Ernakulam,Aluva
,,Angamaly
,,Broadway market
,,Ernakulam
,,Keezhampara
,,Koovapadi
,,Kothamangalam
,,Mazhuvannur
,,Moovattupuzha
,,North Paravur
,,Perumbavoor
,,Piravam
,,Thrippunithura
,Idukki,Adimali
,,Kamakshi
,,Kattappana
,,Munnar
,,Nedumkandam
,,Thodupuzha
,,Thompramkudi
,,Vandiperiyar
,Kannur,Chavassery
,,Irikkur
,,Irityy
,,Kannur
,,Kuthuparambu
,,Payyannur
,,Taliparamba
,,Thalasserry
,Kasargod,Kanjangadu
,,Kasargod
,,Manjeswaram
,,Neeleswaram
,Kollam,Anchal
,,Chathanoor
,,Kaliyanchanda
,,Kollam
,,Kottarakkara
,,Punalur
,,Sasthamkotta
,Kottayam,Kottayam
,,Athirampuzha
,,Ettumanoor
,,Kanjirappally
,,Kuruppanthura
,,Pala
,,Pampady
,,Thalayolaparambu
,kozhikode,Kallachi
,,Mukkom
,,Palayam
,,Perambra
,,Quilandy
,,Thamarassery
,,Vengeri(Kozhikode)
,Malappuram,Kondotty
,,Kottakkal
,,Manjeri
,,Parappanangadi
,,Perinthalmanna
,,Thirurrangadi
,palakkad,Elevancheri
,,Kizhakkancheri
,,Koduvayoor
,,Kollengode
,,Malampuzha
,,Palakkad
,,Pattambi
,,vadakarapathy
,,Vadakkenchery
,,Vithinasserri
,Pathanamthitta,Ezhamkulam
,,Kuttoor
,,Omalloor
,,Pandalam
,,Parakkodu
,,Puramattom
,,Ranniangadi
,thrissur,Chalakudy
,,Chavakkad
,,Chelakkara
,,Irinjalakkuda
,,Karuvannur
,,Kodungalloor
,,Mattathur
,,Pariyaram
,,Pazhayannur
